"","Soort","Buffer","Overlap"
"1","Chinese wolhandkrab","10",0.167174986934425
"2","heilige ibis","10",0.43776053353595
"3","nijlgans","10",0.21520687682555
"4","invasieve duizendknopen","10",0.0757025636504493
"5","reuzenbalsemien","10",0.138506077251375
"6","boksdoorn","10",0.0677937929506628
"7","rimpelroos","10",0.138308085359036
"8","mahonie","10",0.208818582510978
"9","reuzenberenklauw","10",0.0504381190273611
"10","vijfbladige wingerd","10",0.0808760633172785
"11","struikaster","10",0.106437989482917
"12","hemelboom","10",0.0255580353792558
"13","Canadese gans","10",0.260860677958839
"14","smalle waterpest","10",0.237074386067367
"15","watercrassula","10",0.37041667261508
"16","late guldenroede","10",0.0815221636603558
"17","Canadese guldenroede","10",0.106613172526942
"18","grote waternavel","10",0.154218659160647
"19","sneeuwbes","10",0.0690885894975606
"20","verspreidbladige waterpest","10",0.0327542775978615
"21","zonnebaars","10",0.188326618163858
"22","muskusrat","10",0.229657898811348
"23","rosse stekelstaart","10",0.450652825112801
"24","parelvederkruid","10",0.179194108944844
"25","Chinese muntjak","10",0.0332139211862154
"26","Japans hoefblad","10",0.0164033177256938
"27","Amerikaanse hondsvis","10",0.431659930071936
"28","Siberische grondeekhoorn","10",0.0443421739454904
"29","blauwbandgrondel","10",0.167109700518782
"30","lettersierschildpad","10",0.116598922056793
"31","smalle olijfwilg","10",0.196631673440214
"32","Amerikaanse nerts","10",0.160668098980071
"33","zwartbekgrondel","10",0.0521926733227964
"34","gevlekte Amerikaanse rivierkreeft","10",0.118315807430934
"35","Amerikaanse stierkikker","10",0.0785305483449122
"36","beverrat","10",0.310441601312926
"37","moerashyacint","10",0.215512440180542
"38","valse wingerd","10",0.0814685789860182
"39","Afghaanse duizendknoop","10",0.163303150865726
"40","wasbeer","10",0.130442261556908
"41","grote waterteunisbloem","10",0.456301983380491
"42","gele maskerbloem","10",0.120996739155138
"43","rode Amerikaanse rivierkreeft","10",0.197948334110351
"44","marmergrondel","10",0.197653818791159
"45","kleine waterteunisbloem","10",0.801836659993068
"46","egeria","10",0.0491861924198006
"47","ongelijkbladig vederkruid","10",0.0510555733926005
"48","zijdeplant","10",0.0337031331162827
"49","gestreepte Amerikaanse rivierkreeft","10",0.388447979193971
"50","Kaapse waterlelie","10",0.668654702755451
"51","watersla","10",0.0729403660928942
"52","moerasaronskelk","10",0.147536785362914
"53","Chinese moerasslak","10",0.525628802602843
"54","waterhyacint","10",0.214285714286011
"55","Aziatische hoornaar (soort)","10",0.011420295603523
"56","Leidse plant","10",0.233968336408891
"57","moerasanemoon","10",0.042759172162493
"58","Turkse rivierkreeft","10",0.146006715264716
"59","sikahert","10",0.747501414840341
"60","Noord-Aziatische modderkruiper","10",1.00000000000005
"61","Chinese wolhandkrab","20",0.167165814417426
"62","heilige ibis","20",0.448726677401503
"63","nijlgans","20",0.209650286943784
"64","invasieve duizendknopen","20",0.0742365906510343
"65","reuzenbalsemien","20",0.134653367580534
"66","boksdoorn","20",0.0706565922700828
"67","rimpelroos","20",0.13119288862452
"68","mahonie","20",0.159104432758709
"69","reuzenberenklauw","20",0.0517206576505202
"70","vijfbladige wingerd","20",0.0781767181878
"71","struikaster","20",0.11599330387431
"72","hemelboom","20",0.0257987755946526
"73","Canadese gans","20",0.257728530000031
"74","smalle waterpest","20",0.241056609602103
"75","watercrassula","20",0.348469371045104
"76","late guldenroede","20",0.0815010787418606
"77","Canadese guldenroede","20",0.105474128311049
"78","grote waternavel","20",0.162576608960586
"79","sneeuwbes","20",0.0669571984831555
"80","verspreidbladige waterpest","20",0.0342418240757843
"81","zonnebaars","20",0.189118445975073
"82","muskusrat","20",0.224453041082772
"83","rosse stekelstaart","20",0.469584389280373
"84","parelvederkruid","20",0.184125583749985
"85","Chinese muntjak","20",0.0335028321772705
"86","Japans hoefblad","20",0.0198060778139438
"87","Amerikaanse hondsvis","20",0.433873699022193
"88","Siberische grondeekhoorn","20",0.0552338137264813
"89","blauwbandgrondel","20",0.167674976956019
"90","lettersierschildpad","20",0.118006867018477
"91","smalle olijfwilg","20",0.214255080162795
"92","Amerikaanse nerts","20",0.164077268368749
"93","zwartbekgrondel","20",0.0498897605090529
"94","gevlekte Amerikaanse rivierkreeft","20",0.117108289090791
"95","Amerikaanse stierkikker","20",0.0692716907263246
"96","beverrat","20",0.315236956473931
"97","moerashyacint","20",0.219505110344932
"98","valse wingerd","20",0.0818399002186084
"99","Afghaanse duizendknoop","20",0.136189163815899
"100","wasbeer","20",0.132699849346584
"101","grote waterteunisbloem","20",0.431938055257
"102","gele maskerbloem","20",0.115278538512992
"103","rode Amerikaanse rivierkreeft","20",0.196397067517275
"104","marmergrondel","20",0.192527407599454
"105","kleine waterteunisbloem","20",0.772078511634645
"106","egeria","20",0.0495861520854217
"107","ongelijkbladig vederkruid","20",0.0537187472618098
"108","zijdeplant","20",0.033258471413336
"109","gestreepte Amerikaanse rivierkreeft","20",0.402534920286256
"110","Kaapse waterlelie","20",0.635179217815247
"111","watersla","20",0.0779731020720957
"112","moerasaronskelk","20",0.132094314279052
"113","Chinese moerasslak","20",0.51319842572613
"114","waterhyacint","20",0.214285714285735
"115","Aziatische hoornaar (soort)","20",0.0113822200237605
"116","Leidse plant","20",0.279524951668187
"117","moerasanemoon","20",0.0454593263467996
"118","Turkse rivierkreeft","20",0.161803366161718
"119","sikahert","20",0.746112450906709
"120","Noord-Aziatische modderkruiper","20",1.00000000000076
"121","Chinese wolhandkrab","30",0.165978276347265
"122","heilige ibis","30",0.454836756126009
"123","nijlgans","30",0.202860372082687
"124","invasieve duizendknopen","30",0.0741028790707338
"125","reuzenbalsemien","30",0.131436410648188
"126","boksdoorn","30",0.0735175063119467
"127","rimpelroos","30",0.126887232556075
"128","mahonie","30",0.134894145553371
"129","reuzenberenklauw","30",0.0529351080396622
"130","vijfbladige wingerd","30",0.0773806794502813
"131","struikaster","30",0.124788802779522
"132","hemelboom","30",0.0258474204448144
"133","Canadese gans","30",0.250891731534317
"134","smalle waterpest","30",0.242401793397629
"135","watercrassula","30",0.339755267697816
"136","late guldenroede","30",0.081679887356748
"137","Canadese guldenroede","30",0.105506728887306
"138","grote waternavel","30",0.168953200108336
"139","sneeuwbes","30",0.0659489350345716
"140","verspreidbladige waterpest","30",0.0363916102859079
"141","zonnebaars","30",0.188667136949347
"142","muskusrat","30",0.217098606794529
"143","rosse stekelstaart","30",0.477330232228926
"144","parelvederkruid","30",0.186033721939453
"145","Chinese muntjak","30",0.0342149548996311
"146","Japans hoefblad","30",0.0219869076719587
"147","Amerikaanse hondsvis","30",0.437240966378028
"148","Siberische grondeekhoorn","30",0.0661276411689018
"149","blauwbandgrondel","30",0.169050806395387
"150","lettersierschildpad","30",0.119116978932365
"151","smalle olijfwilg","30",0.221444744115258
"152","Amerikaanse nerts","30",0.158493098865231
"153","zwartbekgrondel","30",0.0473892061071219
"154","gevlekte Amerikaanse rivierkreeft","30",0.117491758757308
"155","Amerikaanse stierkikker","30",0.0673510468909931
"156","beverrat","30",0.31065571149052
"157","moerashyacint","30",0.222979177191567
"158","valse wingerd","30",0.0823063853582851
"159","Afghaanse duizendknoop","30",0.121462064968617
"160","wasbeer","30",0.133219148659272
"161","grote waterteunisbloem","30",0.413663963123636
"162","gele maskerbloem","30",0.113036291367774
"163","rode Amerikaanse rivierkreeft","30",0.19751522230633
"164","marmergrondel","30",0.190623029594382
"165","kleine waterteunisbloem","30",0.737029893448425
"166","egeria","30",0.0502120149496386
"167","ongelijkbladig vederkruid","30",0.0554292787419945
"168","zijdeplant","30",0.0335953756167135
"169","gestreepte Amerikaanse rivierkreeft","30",0.409472668223269
"170","Kaapse waterlelie","30",0.614503875591769
"171","watersla","30",0.0801973929912325
"172","Kesslergrondel","30",0.000172858068309176
"173","moerasaronskelk","30",0.124049434984716
"174","Chinese moerasslak","30",0.50888299140998
"175","waterhyacint","30",0.214285714285642
"176","Aziatische hoornaar (soort)","30",0.0113349567244273
"177","Leidse plant","30",0.295983644404146
"178","moerasanemoon","30",0.0468003728432161
"179","Turkse rivierkreeft","30",0.168080054749849
"180","sikahert","30",0.741818308972749
"181","Noord-Aziatische modderkruiper","30",0.999999999999796
"182","Chinese wolhandkrab","40",0.164745756478893
"183","heilige ibis","40",0.455153516607257
"184","nijlgans","40",0.195533291328597
"185","invasieve duizendknopen","40",0.0743736828290471
"186","reuzenbalsemien","40",0.128847081070684
"187","boksdoorn","40",0.075636459624002
"188","rimpelroos","40",0.123216918719823
"189","mahonie","40",0.119527867682328
"190","reuzenberenklauw","40",0.0539618762070814
"191","vijfbladige wingerd","40",0.0775209999046468
"192","struikaster","40",0.131390237065686
"193","hemelboom","40",0.0259576367784862
"194","Canadese gans","40",0.243173873002338
"195","smalle waterpest","40",0.2432048044767
"196","watercrassula","40",0.334609268254699
"197","late guldenroede","40",0.0818112819641759
"198","Canadese guldenroede","40",0.105804454664105
"199","grote waternavel","40",0.174225422533841
"200","sneeuwbes","40",0.0651232965135626
"201","verspreidbladige waterpest","40",0.0378245255823712
"202","zonnebaars","40",0.18899667168297
"203","muskusrat","40",0.20938972561199
"204","rosse stekelstaart","40",0.481223707389161
"205","parelvederkruid","40",0.186378935476425
"206","Chinese muntjak","40",0.034819440496612
"207","Japans hoefblad","40",0.0222790050411917
"208","Amerikaanse hondsvis","40",0.441085857467682
"209","Siberische grondeekhoorn","40",0.0756712646612905
"210","blauwbandgrondel","40",0.170775840657507
"211","lettersierschildpad","40",0.119981805096235
"212","smalle olijfwilg","40",0.226691227897647
"213","Amerikaanse nerts","40",0.155856477359667
"214","zwartbekgrondel","40",0.0468723927827278
"215","gevlekte Amerikaanse rivierkreeft","40",0.117882682986971
"216","Amerikaanse stierkikker","40",0.0664764004465034
"217","beverrat","40",0.303592921029642
"218","moerashyacint","40",0.225989822822245
"219","valse wingerd","40",0.0824957551277868
"220","Afghaanse duizendknoop","40",0.112044889530012
"221","wasbeer","40",0.132535589221841
"222","grote waterteunisbloem","40",0.397258999383442
"223","gele maskerbloem","40",0.111888292888825
"224","rode Amerikaanse rivierkreeft","40",0.198314286735774
"225","marmergrondel","40",0.191736505641562
"226","kleine waterteunisbloem","40",0.700600594935805
"227","egeria","40",0.0507991075250927
"228","ongelijkbladig vederkruid","40",0.0551505153639741
"229","zijdeplant","40",0.0342208436297476
"230","gestreepte Amerikaanse rivierkreeft","40",0.413166868949089
"231","Kaapse waterlelie","40",0.602125298681692
"232","watersla","40",0.0814146767494218
"233","Kesslergrondel","40",0.00808362071102458
"234","moerasaronskelk","40",0.118330731525689
"235","Chinese moerasslak","40",0.506693515751755
