soort,species,abbr,nPATDAT_excl_ob,nBehOve,nEigend,nHuur,nProLan,nErfpac,inPATDAT_excl_ob,inAntKem,inBraWou,inDemZKe,inGroGor,inKusWes,inLtHKem,inTaxand,inVArSch,inHKeVoe,inZanVla,ofPATDAT_excl_ob,ofAntKem,ofBraWou,ofDemZKe,ofGroGor,ofKusWes,ofLtHKem,ofTaxand,ofVArSch,ofHKeVoe,ofZanVla,selPATDAT_excl_ob,selAntKem,selBraWou,selDemZKe,selGroGor,selKusWes,selLtHKem,selTaxand,selVArSch,selHKeVoe,selZanVla
heilige ibis,"Threskiornis aethiopicus Latham, 1790",Ta,21,11,8,1,1,0,0.297448, 0.126224,0.012945, 0.142363,0.004287,0.009115,0.000502,0.000645,0.001367,0,0,0.003340, 0.011987,0.001493, 0.016799,0.001255,0.001131,0.000029,0.000054,0.000376,0,0,6.213753,22.303774,2.777492,31.258296,2.334615,2.103518,0.053446,0.100321,0.698809,0,0
nijlgans,"Alopochen aegyptiacus Linnaeus, 1766",Aae,635,140,444,17,20,14,0.079222,0.016774,0.003885,0.009392,0.007132,0.011187,0.003826,0.011507,0.003927,0.004117,0.007385,0.139086,0.249089,0.070049,0.173314,0.326418,0.216967,0.034248,0.150358,0.168691,0.060971,0.186205,1.654969,2.963882,0.833510,2.062250,3.884016,2.581664,0.407510,1.789095,2.007233,0.725494,2.215632
rimpelroos,Rosa rugosa Thunb.,Rr,147,41,97,1,4,4,0.092142,0.002721,0.002177,0.003351,0.002907, 0.070864,0.001183,0.004739,0.001138,0.000984,0.002079,0.012099,0.003022,0.002937,0.004625,0.009952, 0.102796,0.000792,0.004631,0.003657,0.001090,0.003920,1.924874,0.480799,0.467172,0.735718,1.583295,16.353782,0.125947,0.736736,0.581818,0.173479,0.623598
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,524,116,363,17,17,11,0.149589,0.017061,0.012963,0.028274,0.005345,0.013600,0.019627,0.017945,0.004291,0.017305,0.012880,0.105056,0.101347,0.093509,0.208702,0.097860,0.105517,0.070278,0.093799,0.073734,0.102518,0.129903,3.124947,3.014626,2.781498,6.207983,2.910895,3.138678,2.090454,2.790124,2.193275,3.049447,3.864053
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,207,42,147,3,7,8,0.053770,0.007199,0.005602,0.003436,0.009356,0.007658,0.003151,0.002947,0.006695,0.002699,0.004993,0.008886,0.010064,0.009510,0.005969,0.040305,0.013982,0.002655,0.003624,0.027074,0.003763,0.011851,1.123261,1.272089,1.202078,0.754482,5.094751,1.767355,0.335629,0.458132,3.422231,0.475651,1.497970
Canadese gans,"Branta canadensis (Linnaeus, 1758)",Bc,541,125,373,17,15,11,0.109011,0.029284,0.005016,0.010513,0.007614,0.018490,0.004268,0.017806,0.004252,0.002787,0.008929,0.131287,0.298320,0.062043,0.133083,0.239037,0.246010,0.026205,0.159603,0.125314,0.028310,0.154431,2.277252,5.174531,1.076180,2.308406,4.146239,4.267184,0.454534,2.768399,2.173649,0.491056,2.678698
verspreidbladige waterpest,Lagarosiphon major (Ridley) Moss,Lm,6,1,4,0,1,0,0.151723,0,0,0.006155,0.003917, 0.088591,0,0, 0.053059,0,0,0.000146,0,0,0.000062,0.000099, 0.000944,0,0, 0.001253,0,0,3.169513,0,0,1.351494,2.133315,20.444830,0,0,27.122489,0,0
zonnebaars,"Lepomis gibbosus Linnaeus, 1758",Lgi,61,12,42,4,2,1,0.157712,0.017988,0.002262,0.018554,0.016805,0.001063,0.009652,0.063083,0.000673,0.018209,0.009423,0.003282,0.003166,0.000483,0.004058,0.009116,0.000244,0.001024,0.009770,0.000343,0.003196,0.002816,3.294643,3.178465,0.485361,4.073821,9.151629,0.245234,1.028021,9.808088,0.344009,3.208711,2.826956
rosse stekelstaart,"Oxyura jamaicensis Gmelin, 1789",Oj,20,11,7,1,1,0,0.277886, 0.161747,0.005517,0.019509,0, 0.060753,0.007590,0.022770,0,0,0,0.001762, 0.008676,0.000359,0.001300,0, 0.004256,0.000245,0.001075,0,0,0,5.805096,28.580608,1.183867,4.283477,0,14.020561,0.808393,3.540206,0,0,0
sneeuwbes,Symphoricarpos albus (L.) K.Koch,Sa,183,44,121,3,7,8,0.079279,0.006211,0.012225,0.007842,0.006453,0.022859,0.004659,0.007187,0.004311,0.003115,0.004418,0.007311,0.004845,0.011580,0.007601,0.015513,0.023289,0.002190,0.004933,0.009729,0.002423,0.005851,1.656148,1.097447,2.623053,1.721803,3.513887,5.275297,0.496176,1.117443,2.203885,0.548872,1.325417
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,44,7,31,2,3,1,0.093122,0.021958,0,0.029147,0.005945,0.000646,0.011255,0.014168,0.008849,0.000971,0.000183,0.002082,0.004153,0,0.006849,0.003465,0.000160,0.001283,0.002358,0.004841,0.000183,0.000059,1.945329,3.880053,0,6.399635,3.237370,0.149038,1.198784,2.202806,4.523165,0.171177,0.054826
late guldenroede,Solidago gigantea Aiton,Sg,256,58,178,7,12,1,0.08704,0.008968,0.009656,0.007621,0.011789,0.006164,0.010124,0.009848,0.008986,0.006998,0.006636,0.01682,0.014659,0.019166,0.015479,0.059387,0.013159,0.009975,0.014164,0.042493,0.011407,0.018416,1.81828,1.584653,2.071918,1.673349,6.419944,1.422530,1.078277,1.531151,4.593673,1.233107,1.990867
smalle waterpest,Elodea nuttallii (Planch.) St. John,En,56,7,44,3,2,0,0.126747,0.016689,0.003687,0.042088,0.002642,0.018755,0.003144,0.033509,0.001701,0.000052,0.004424,0.003243,0.003612,0.000969,0.011318,0.001762,0.005301,0.000410,0.006381,0.001065,0.000011,0.001625,2.647774,2.948926,0.791074,9.241169,1.438734,4.328192,0.334826,5.209955,0.869502,0.009103,1.327225
mahonie,Mahonia aquifolium (Pursh) Nutt.,Maa,135,31,93,5,5,1,0.078269,0.002450,0.001443,0.004552,0.000867, 0.056962,0.003311,0.003670,0.000880,0.002385,0.001748,0.008893,0.002354,0.001684,0.005437,0.002567, 0.071497,0.001918,0.003103,0.002446,0.002286,0.002853,1.635051,0.432856,0.309716,0.999578,0.472065,13.145590,0.352671,0.570569,0.449806,0.420285,0.524505
grote waternavel,Hydrocotyle ranunculoides L. f.,Hr,56,14,40,2,0,0,0.073471,0.001849,0.002613,0.029548,0.000652,0.004835,0.001090,0.002959, 0.020733,0.002515,0.006565,0.003050,0.000649,0.001114,0.012894,0.000706,0.002217,0.000231,0.000914, 0.021062,0.000881,0.003914,1.534833,0.326773,0.560719,6.487810,0.355063,1.115747,0.116141,0.459987,10.598169,0.443093,1.969653
Chinese muntjak,"Muntiacus reevesi Ogilby, 1839",Mr,24,5,15,0,3,1,0.213493, 0.080421,0,0.008692, 0.080725,0.001917,0.000125,0.005147,0.010196,0.001407,0.024864,0.002097, 0.006682,0,0.000897, 0.020672,0.000208,0.000006,0.000376,0.002451,0.000117,0.003508,4.459912,14.210407,0,1.908370,43.960340,0.442479,0.013264,0.800311,5.211750,0.247908,7.459140
Japans hoefblad,Petasites japonicus (Siebold & Zucc.) Maxim.,Pj,1,0,1,0,0,0,0.001205,0,0,0,0,0,0,0,0.001205,0,0,0.000006,0,0,0,0,0,0,0,0.000143,0,0,0.025180,0,0,0,0,0,0,0,0.616144,0,0
hemelboom,Ailanthus altissima (Mill.) Swingle,Aal,42,12,25,1,2,2,0.023079,0.000267,0.000392,0.001209,0.005893,0.006981,0.003441,0.000700,0.001336,0.001206,0.001654,0.001118,0.000109,0.000195,0.000615,0.007439,0.003734,0.000849,0.000252,0.001582,0.000493,0.001150,0.482116,0.047144,0.084017,0.265479,3.209410,1.611051,0.366470,0.108850,0.682703,0.212530,0.496256
Amerikaanse nerts,"Mustela vison Schreber, 1777",Mvis,5,1,3,1,0,0,0.052862,0,0,0.016190,0,0.019079,0,0,0,0,0.017594,0.000088,0,0,0.000285,0,0.000352,0,0,0,0,0.000423,1.104291,0,0,3.554694,0,4.402918,0,0,0,0,5.278112
Amerikaanse hondsvis,"Umbra pygmaea (DeKay, 1842)",Up,21,5,10,5,1,0,0.303582,0,0, 0.046456,0,0,0.027261, 0.146565,0, 0.083301,0,0.000967,0,0, 0.001555,0,0,0.000443, 0.003473,0, 0.002237,0,6.341892,0,0,10.200108,0,0,2.903511,22.787652,0,14.678768,0
Chinese wolhandkrab,"Eriocheir sinensis H. Milne Edwards, 1854",Es,74,16,53,2,1,2,0.090866,0.018946,0.003961,0.018235,0.010474,0.011413,0,0.007090,0.008118,0,0.012629,0.003080,0.005432,0.001379,0.006496,0.009255,0.004273,0,0.001789,0.006733,0,0.006148,1.898212,3.347734,0.849841,4.003703,5.703966,2.633831,0,1.102341,4.149942,0,3.788890
invasieve duizendknopen,"Reynoutria japonica Houtt.,Reynoutria sachalinensis (F.Schmidt) Nakai,Reynoutria ×bohemica Chrtek & Chrtková",Rj,379,86,264,7,11,11,0.055965,0.009849,0.005469,0.008404,0.008169,0.001855,0.007391,0.005327,0.003835,0.001606,0.004001,0.024003,0.035729,0.024093,0.037886,0.091334,0.008791,0.016163,0.017004,0.040247,0.005811,0.024644,1.169119,1.740243,1.173507,1.845309,4.448634,0.428199,0.787257,0.828234,1.960338,0.283016,1.200341
Siberische grondeekhoorn,"Tamias sibiricus Laxmann, 1769",Tsi,6,3,3,0,0,0, 0.745188,0,  0.638158,0.035470,0.008840, 0.062721,0,0,0,0,0, 0.003030,0,  0.026651,0.001516,0.000937, 0.002817,0,0,0,0,0,15.567130,0,136.928028,7.787998,4.813729,14.474526,0,0,0,0,0
boksdoorn,Lycium barbarum L.,Lb,25,9,15,0,1,0,0.118738,0,0.000327,0,0, 0.117520,0.000892,0,0,0,0,0.001954,0,0.000055,0,0, 0.021362,0.000075,0,0,0,0,2.480462,0,0.070067,0,0,27.121046,0.094954,0,0,0,0
muskusrat,"Ondatra zibethicus Linnaeus, 1766",Oz,131,31,97,0,1,2,0.064845,0.000317,0.013015,0.002115,0.005320,0.029757,0.000313,0.000127,0.012573,0.000829,0.000425,0.016240,0.000671,0.033480,0.005566,0.034733,0.082328,0.000400,0.000237,0.077046,0.001752,0.001527,1.354626,0.055952,2.792700,0.464305,2.897265,6.867370,0.033386,0.019728,6.426768,0.146152,0.127406
lettersierschildpad,"Trachemys scripta Schoepff, 1792",Tsc,123,33,78,4,4,4,0.122084,0.015065,0.024278,0.009260, 0.024957,0.006750,0.003722,0.007330,0.015858,0.003686,0.011178,0.006142,0.006410,0.012544,0.004896, 0.032728,0.003751,0.000955,0.002744,0.019520,0.001564,0.008076,2.550359,2.661961,5.209232,2.033170,13.590740,1.557683,0.396473,1.139693,8.105991,0.649593,3.353500
smalle olijfwilg,Elaeagnus angustifolia L.,Ea,28,17,10,1,0,0,0.122353, 0.081331,0,0,0.001679,0.034520,0,0,0,0.001332,0.003490,0.001630, 0.009165,0,0,0.000583,0.005081,0,0,0,0.000150,0.000668,2.555976,14.371105,0,0,0.914416,7.966533,0,0,0,0.234785,1.047124
watercrassula,Crassula helmsii (Kirk) Cockayne,Ch,106,36,61,4,4,1,0.326642, 0.140834,0.003332,0.017086,0.011595,0.027513,0.005345, 0.091759,0.004582,0.000006,0.024590,0.014491, 0.052849,0.001518,0.007967,0.013410,0.013484,0.001209, 0.030298,0.004974,0.000002,0.015666,6.823613,24.885411,0.714896,3.751474,6.314466,6.349459,0.569313,14.266546,2.341978,0.001008,7.376966
Canadese guldenroede,Solidago canadensis L.,Sc,77,20,48,3,4,2,0.095531,0.008916,0.021134,0.017573,0.005011,0.009602,0.009244,0.006257,0.003427,0.002640,0.011726,0.003464,0.002735,0.007872,0.006698,0.004737,0.003847,0.001709,0.001689,0.003041,0.000808,0.006106,1.995670,1.575443,4.534774,3.858489,2.728777,2.215998,0.984612,0.972791,1.751980,0.465232,3.517818
reuzenbalsemien,Impatiens glandulifera Royle,Ig,319,58,244,3,7,7,0.084150,0.009195,0.013196,0.012557,0.014543,0.002162,0.006098,0.011410,0.004739,0.003000,0.007249,0.029586,0.027346,0.047653,0.046402,0.133294,0.008398,0.010930,0.029857,0.040775,0.008898,0.036601,1.757916,1.624823,2.831416,2.757067,7.919880,0.499011,0.649451,1.774022,2.422694,0.528686,2.174722
Chinese prachtslang,"Elaphe taeniura (Cope, 1861)",Et,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
