soort,species,abbr,inVGLRL,inBE2100424,inBE2101437,inBE2101538,inBE2200626,inBE2219312,inBE2221314,inBE2223316,inBE2301134,inBE2301235,inBE2301336,inBE2500932,inBE2100323,inBE2101639,inBE2200525,inBE2200727,inBE2217310,inBE2218311,inBE2220313,inBE2300222,inBE2422315,inBE2500121,inBE2500831,inBE2501033,inBE2524317,ofVGLRL,ofBE2100424,ofBE2101437,ofBE2101538,ofBE2200626,ofBE2219312,ofBE2221314,ofBE2223316,ofBE2301134,ofBE2301235,ofBE2301336,ofBE2500932,ofBE2100323,ofBE2101639,ofBE2200525,ofBE2200727,ofBE2217310,ofBE2218311,ofBE2220313,ofBE2300222,ofBE2422315,ofBE2500121,ofBE2500831,ofBE2501033,ofBE2524317,selVGLRL,selBE2100424,selBE2101437,selBE2101538,selBE2200626,selBE2219312,selBE2221314,selBE2223316,selBE2301134,selBE2301235,selBE2301336,selBE2500932,selBE2100323,selBE2101639,selBE2200525,selBE2200727,selBE2217310,selBE2218311,selBE2220313,selBE2300222,selBE2422315,selBE2500121,selBE2500831,selBE2501033,selBE2524317
parelvederkruid,Myriophyllum aquaticum (Vell.) Verdc.,Mya,0.168238,0,0.001568,0.005718, 0.005802,0.016668,0.025573, 0.076930,0,0,0,0,0.002319,0, 0.014795,0,0.013914,0.004951,0,0,0,0,0,0,0,0.002319,0,0.000516,0.001094, 0.013891,0.008804,0.002638, 0.016133,0,0,0,0,0.001438,0, 0.025536,0,0.001910,0.000754,0,0,0,0,0,0,0,2.333857,0,0.519846,1.101142,13.981694,8.861557,2.655478,16.237479,0,0,0,0,1.447587,0,25.702278,0,1.922050,0.759032,0,0,0,0,0,0,0
late guldenroede,Solidago gigantea Aiton,Sg,0.078890,0.000301,0.000596,0.007286,0.001582,0.003430,0.009517,0.008103,0,0.01064,0.002712,0.000314,0.001927,0.006743,0.000837,0.000739,0.002505,0.008005,0.001205,0.001027,0.007195,0.002341,0.000065,0.001819,0,0.008368,0.036445,0.001512,0.010730,0.029153,0.013945,0.007557,0.013077,0,0.02646,0.003989,0.000335,0.009197,0.012983,0.011119,0.003284,0.002646,0.009385,0.004405,0.055667,0.060046,0.021868,0.000133,0.009903,0,1.094387,4.766177,0.197676,1.403180,3.812568,1.823630,0.988244,1.710188,0,3.46034,0.521622,0.043779,1.202810,1.697819,1.454065,0.429530,0.346024,1.227330,0.576104,7.279888,7.852643,2.859827,0.017341,1.295080,0
smalle waterpest,Elodea nuttallii (Planch.) St. John,En,0.230179, 0.003850,0,0.002245,0.003062,0.018094,0.060675, 0.062671,0,0.004980,0.003939,0.009903,0,0.013043,0,0,0.006476,0.001970,0, 0.001534,0.003939,0,0.033800,0,0,0.003736, 0.071242,0,0.000506,0.008632,0.011254,0.007371, 0.015475,0,0.001895,0.000886,0.001617,0,0.003842,0,0,0.001046,0.000353,0, 0.012713,0.005029,0,0.010492,0,0,3.193117,60.896700,0,0.432291,7.378316,9.619821,6.300414,13.227705,0,1.619707,0.757651,1.381989,0,3.284316,0,0,0.894494,0.301953,0,10.866765,4.298900,0,8.968773,0,0
mahonie,Mahonia aquifolium (Pursh) Nutt.,Maa,0.087237,0,0,0.003877,0.001232,0.001785,0.005347,0.004312,0,0.004076,0.001885,0.000501,0,0.001308,0.000872,0.001028,0.005665,0.002561,0,0,0.000662, 0.051687,0.000436,0.000004,0,0.006397,0,0,0.003947,0.015697,0.005017,0.002935,0.004811,0,0.007007,0.001917,0.000369,0,0.001741,0.008006,0.003158,0.004137,0.002075,0,0,0.003821, 0.333714,0.000611,0.000016,0,1.210180,0,0,0.746582,2.969400,0.949102,0.555255,0.910018,0,1.325507,0.362558,0.069874,0,0.329265,1.514437,0.597431,0.782561,0.392622,0,0,0.722834,63.129306,0.115659,0.003026,0
grote waternavel,Hydrocotyle ranunculoides L. f.,Hr,0.181046,0,0.000832,0,0,0.005031,0.037425, 0.103996,0,0.006649,0,0.009884,0,0,0.003154,0,0.003782,0.003093,0,0,0.004885,0.001040,0.001277,0,0,0.004533,0,0.000498,0,0,0.004827,0.007013, 0.039614,0,0.003903,0,0.002489,0,0,0.009889,0,0.000943,0.000856,0,0,0.009621,0.002292,0.000611,0,0,2.511531,0,0.275810,0,0,2.674797,3.886176,21.950111,0,2.162408,0,1.379307,0,0,5.479295,0,0.522374,0.474162,0,0,5.331329,1.269835,0.338778,0,0
Chinese muntjak,"Muntiacus reevesi Ogilby, 1839",Mr,0.040634,0,0.016072,0.008487,0,0,0.005059,0.011017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000248,0,0.002344,0.000719,0,0,0.000231,0.001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563690,0,5.329566,1.634383,0,0,0.525315,2.325229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japans hoefblad,Petasites japonicus (Siebold & Zucc.) Maxim.,Pj,0.026910,0,0,0,0,0,0,0,0,0.010130,0,0,0.003021,0,0,0,0,0.013759,0,0,0,0,0,0,0,0.000085,0,0,0,0,0,0,0,0,0.000749,0,0,0.000429,0,0,0,0,0.000480,0,0,0,0,0,0,0,0.373298,0,0,0,0,0,0,0,0,3.294571,0,0,1.885516,0,0,0,0,2.109458,0,0,0,0,0,0,0
hemelboom,Ailanthus altissima (Mill.) Swingle,Aal,0.023364,0,0,0,0,0,0,0.001538,0,0.004022,0.001781,0,0,0.000640,0,0,0.001163,0.004653,0,0.000072,0, 0.009497,0,0,0,0.000642,0,0,0,0,0,0,0.000643,0,0.002591,0.000678,0,0,0.000319,0,0,0.000318,0.001413,0,0.001004,0, 0.022976,0,0,0,0.324115,0,0,0,0,0,0,0.324540,0,1.308014,0.342473,0,0,0.161220,0,0,0.160672,0.713324,0,0.506673,0,11.598965,0,0,0
Amerikaanse hondsvis,"Umbra pygmaea (DeKay, 1842)",Up,0.434700,  0.049315,0,0, 0.03975, 0.020154,0.060968,0.040308,0,0,0,0,0, 0.063277,  0.100465, 0.040308,0,0.020154,0,0,0,0,0,0,0,0.000689,  0.089179,0,0, 0.01095, 0.001225,0.000724,0.000973,0,0,0,0,0, 0.001822,  0.019954, 0.002679,0,0.000353,0,0,0,0,0,0,0,6.030294,780.048537,0,0,95.78353,10.715019,6.330772,8.507663,0,0,0,0,0,15.933668,174.534472,23.433511,0,3.089888,0,0,0,0,0,0,0
Chinese wolhandkrab,"Eriocheir sinensis H. Milne Edwards, 1854",Es,0.178608, 0.003239,0,0,0,0,0, 0.048255,0.002819, 0.060431,0.020509,0.016272,0,0,0,0,0,0,0,0,0.002963,0.000821,0.021818,0.001482,0,0.003853, 0.079681,0,0,0,0,0, 0.015839,0.007645, 0.030564,0.006135,0.003531,0,0,0,0,0,0,0,0,0.005029,0.001559,0.009003,0.001641,0,2.477706,51.237927,0,0,0,0,0,10.185019,4.915716,19.654143,3.944869,2.270852,0,0,0,0,0,0,0,0,3.233985,1.002233,5.789324,1.055041,0
invasieve duizendknopen,"Reynoutria japonica Houtt.,Reynoutria sachalinensis (F.Schmidt) Nakai,Reynoutria ×bohemica Chrtek & Chrtková",Rj,0.072173,0,0.001805,0.005310,0.001292,0.004571,0.006268,0.011785,0.000061,0.011357,0.004861,0.002305,0.002017,0.003217,0.000746,0,0.003938,0.005619,0.001043,0.001152,0.003119,0.000161,0.000794,0.000751,0,0.018762,0,0.011214,0.019165,0.058346,0.045545,0.012197,0.046611,0.002000,0.069215,0.017523,0.006028,0.023588,0.015181,0.024299,0,0.010194,0.016143,0.009346,0.152968,0.063797,0.003684,0.003946,0.010019,0,1.001206,0,0.598421,1.022690,3.113543,2.430435,0.650858,2.487334,0.106720,3.693552,0.935075,0.321675,1.258744,0.810086,1.296701,0,0.544009,0.861473,0.498715,8.162933,3.404445,0.196604,0.210564,0.534652,0
Siberische grondeekhoorn,"Tamias sibiricus Laxmann, 1769",Tsi,0.105274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  0.105274,0,0,0,0.000273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  0.024015,0,0,0,1.460391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.578375,0,0,0
boksdoorn,Lycium barbarum L.,Lb,0.078046,0,0,0,0,0,0,0,0,0.001670,0,0.011990,0,0,0,0,0,0,0,0,0, 0.048565,0, 0.015821,0,0.000807,0,0,0,0,0,0,0,0,0.000405,0,0.001247,0,0,0,0,0,0,0,0,0, 0.044204,0, 0.008396,0,1.082681,0,0,0,0,0,0,0,0,0.543176,0,1.673243,0,0,0,0,0,0,0,0,0,59.315704,0,11.266079,0
muskusrat,"Ondatra zibethicus Linnaeus, 1766",Oz,0.173784,0,0.000736,0, 0.004483,0,0.011401,0.005515, 0.028383,0.000799,0.000370,0.035050,0,0.003002,0,0,0.000210,0.000819,0,0, 0.026921,0, 0.050126,0.005969,0,0.026414,0,0.002674,0, 0.118359,0,0.012971,0.012753, 0.542356,0.002847,0.000781,0.053591,0,0.008282,0,0,0.000318,0.001375,0,0, 0.321902,0, 0.145731,0.046568,0,2.410784,0,0.244056,0,10.802683,0,1.183902,1.163944,49.501309,0.259865,0.071263,4.891312,0,0.755944,0,0,0.029049,0.125534,0,0,29.380227,0,13.300968,4.250346,0
lettersierschildpad,"Trachemys scripta Schoepff, 1792",Tsc,0.123942, 0.000647,0.004197,0.005699,0.003462,0.007807,0.010944,0.032943,0,0.022925,0.003871,0.001936,0.004986,0.002571,0.000968,0.000968,0.001654,0.001708,0, 0.001689,0.006585,0.000678,0.007703,0,0,0.004093, 0.024352,0.003314,0.002613,0.019863,0.009881,0.002705,0.016554,0,0.017751,0.001773,0.000643,0.007410,0.001541,0.004003,0.001340,0.000544,0.000623,0, 0.028486,0.017109,0.001973,0.004866,0,0,1.719365,10.228869,1.391842,1.097523,8.343211,4.150538,1.136413,6.953273,0,7.456096,0.744623,0.270125,3.112390,0.647476,1.681351,0.562654,0.228530,0.261792,0,11.965378,7.186553,0.828550,2.044036,0,0
smalle olijfwilg,Elaeagnus angustifolia L.,Ea,0.237557,0,0,0,0,0,0,0,0,0, 0.203321,0.016161,0,0,0,0,0,0,0, 0.003471,0,0.006370,0,0.008234,0,0.001920,0,0,0,0,0,0,0,0,0, 0.022781,0.001314,0,0,0,0,0,0,0, 0.014325,0,0.004532,0,0.003416,0,3.295464,0,0,0,0,0,0,0,0,0,39.107863,2.255359,0,0,0,0,0,0,0,24.591263,0,7.780398,0,5.863409,0
watercrassula,Crassula helmsii (Kirk) Cockayne,Ch,0.320373, 0.005441,0.012228,0.037621,0.002536,0.011606,0.036961,0.019132,0.001634,0.007744, 0.140084,0.002467,0.005315,0.003464,0.003356,0,0,0.004763,0.001191, 0.001813,0.003657,0,0.010033,0.009328,0,0.008599, 0.166505,0.007845,0.014018,0.011821,0.011939,0.007426,0.007813,0.005515,0.004873, 0.052133,0.000666,0.006419,0.001688,0.011280,0,0,0.001413,0.001101, 0.024849,0.007722,0,0.005151,0.012852,0,4.444313,86.057181,4.054760,7.245034,6.109853,6.170543,3.838006,4.038227,2.850327,2.518488,26.944528,0.344252,3.317642,0.872259,5.829875,0,0,0.730302,0.569206,12.842899,3.991160,0,2.662175,6.642419,0
Amerikaanse nerts,"Mustela vison Schreber, 1777",Mvis,0.138750,0,0,0,0,0,0,0,0, 0.032300,0, 0.091612,0,0,0,0,0,0,0,0,0,0,0,0, 0.014838,0.000145,0,0,0,0,0,0,0,0, 0.000793,0, 0.000965,0,0,0,0,0,0,0,0,0,0,0,0, 0.003063,1.924781,0,0,0,0,0,0,0,0,10.504967,0,12.784854,0,0,0,0,0,0,0,0,0,0,0,0,40.600849
Canadese guldenroede,Solidago canadensis L.,Sc,0.107368,0,0,0.002355,0,0.010129,0.014260,0.015962,0,0.001990,0.006775,0.000011,0.004724,0.002856,0.001428,0,0.009783,0.008375,0.001623,0, 0.022827,0.000829,0,0.003439,0,0.002403,0,0,0.000732,0,0.008688,0.002389,0.005435,0,0.001044,0.002102,0.000002,0.004757,0.001160,0.004003,0,0.002180,0.002071,0.001251,0, 0.040190,0.001633,0,0.003951,0,1.489440,0,0,0.453562,0,5.385259,1.480778,3.369119,0,0.647186,1.303197,0.001507,2.948601,0.719274,2.481201,0,1.351417,1.284009,0.775725,0,24.912255,1.012469,0,2.449055,0
reuzenbalsemien,Impatiens glandulifera Royle,Ig,0.120428,0,0.000297,0.003681,0.000154,0.007348,0.007256,0.020219,0.000006, 0.035215,0.000502,0.001448,0.000014,0.003200,0.000295,0,0.012126,0.009768,0.000367,0.000004, 0.016635,0.000286,0.001607,0,0,0.024979,0,0.001472,0.010599,0.005552,0.058414,0.011265,0.063806,0.000160, 0.171243,0.001444,0.003022,0.000126,0.012047,0.007667,0,0.025044,0.022392,0.002623,0.000443, 0.271451,0.005215,0.006375,0,0,1.670616,0,0.098420,0.708908,0.371330,3.906854,0.753416,4.267471,0.010679,11.453079,0.096610,0.202121,0.008431,0.805702,0.512777,0,1.675018,1.497644,0.175437,0.029621,18.155219,0.348808,0.426353,0,0
Chinese prachtslang,"Elaphe taeniura (Cope, 1861)",Et,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gevlekte Amerikaanse rivierkreeft,"Faxonius limosus Rafinesque, 1817",Fl,0.153887,0,0,0.016887, 0.013261, 0.029113,0.013920,0.026522,0,0.018200,0,0,0,0.031562,0,0,0.004420,0,0,0,0,0,0,0,0,0.001113,0,0,0.001695, 0.016656, 0.008068,0.000753,0.002918,0,0.003085,0,0,0,0.004143,0,0,0.000318,0,0,0,0,0,0,0,0,2.134765,0,0,3.252087,31.954400,15.478156,1.445437,5.597977,0,5.919404,0,0,0,7.947640,0,0,0.610600,0,0,0,0,0,0,0,0
blauwbandgrondel,"Pseudorasbora parva Temminck & Schlegel, 1846",Pp,0.160473,  0.009530,0,0,0,0.015796,0.016208, 0.052041,0,0.008197,0.012019,0.016208,0.006162,0, 0.008104,0,0,0,0,0, 0.016208,0,0,0,0,0.001266,  0.085714,0,0,0,0.004775,0.000957, 0.006246,0,0.001516,0.001315,0.001286,0.002187,0, 0.008006,0,0,0,0,0, 0.010058,0,0,0,0,2.226136,150.737930,0,0,0,8.398061,1.683021,10.984153,0,2.666089,2.311719,2.261907,3.846368,0,14.078864,0,0,0,0,0,17.689023,0,0,0,0
struikaster,Baccharis halimifolia L.,Bh,0.134649,0,0,0,0,0,0,0,0,0,0,0.024481,0,0.005801,0,0,0,0,0,0,0, 0.073309,0, 0.024135, 0.006922,0.000703,0,0,0,0,0,0,0,0,0,0,0.001286,0,0.000550,0,0,0,0,0,0,0, 0.033709,0, 0.006470, 0.007131,1.867891,0,0,0,0,0,0,0,0,0,0,3.416380,0,1.460812,0,0,0,0,0,0,0,89.538099,0,17.186251,18.941219
zwartbekgrondel,"Neogobius melanostomus (Pallas, 1814)",Nm,0.049746,0,0,0.001545,0,0,0.002299,0,0,0.007235,0.026048,0.001335,0,0.011284,0,0,0,0,0,0,0,0,0,0,0,0.000296,0,0,0.000128,0,0,0.000103,0,0,0.001011,0.002152,0.000080,0,0.001220,0,0,0,0,0,0,0,0,0,0,0,0.690087,0,0,0.297518,0,0,0.238736,0,0,2.353142,5.010178,0.186289,0,2.841318,0,0,0,0,0,0,0,0,0,0,0
Amerikaanse stierkikker,"Lithobates (Rana) catesbeianus Shaw, 1802",Lc,0.063484, 0.005656,0,0.003793,0,0,0.003793,0.022970,0,0,0.007585,0,0,0,0,0,0,0,0,0, 0.019687,0,0,0,0,0.000535, 0.054353,0,0.000444,0,0,0.000239,0.002945,0,0,0.000886,0,0,0,0,0,0,0,0,0, 0.013053,0,0,0,0,0.880675,89.469744,0,0.730399,0,0,0.393828,4.848182,0,0,1.459025,0,0,0,0,0,0,0,0,0,21.486017,0,0,0,0
beverrat,"Myocastor coypus Molina, 1782",Mc,0.243364,0,0,0.017147,0,0.010476, 0.160479,0.025720,0,0.003822,0,0,0,0.017147,0,0,0,0,0,0,0.008573,0,0,0,0,0.000907,0,0,0.000887,0,0.001497, 0.004478,0.001459,0,0.000334,0,0,0,0.001160,0,0,0,0,0,0,0.002515,0,0,0,0,3.376020,0,0,3.302079,0,5.569732,16.663825,5.428620,0,1.243175,0,0,0,4.317624,0,0,0,0,0,0,9.356608,0,0,0,0
moerashyacint,Pontederia cordata L.,Pco,0.199468,0,0,0.013180, 0.037509, 0.050181,0.006590,0.006590,0,0.021519,0,0,0,0, 0.008372,0,0.035757,0.019771,0,0,0,0,0,0,0,0.000967,0,0,0.000887, 0.031600, 0.009328,0.000239,0.000486,0,0.002447,0,0,0,0, 0.005085,0,0.001727,0.001060,0,0,0,0,0,0,0,2.767092,0,0,2.538263,90.383478,26.679073,0.684311,1.390969,0,6.998574,0,0,0,0,14.543775,0,4.939231,3.031106,0,0,0,0,0,0,0
vijfbladige wingerd,Parthenocissus quinquefolia (L.) Planch.,Pq,0.069113,0,0,0,0,0.009386,0.028094,0.009306,0,0,0,0,0,0,0.005708,0,0.009386,0.004295,0,0,0,0.002939,0,0,0,0.000235,0,0,0,0,0.001225,0.000716,0.000482,0,0,0,0,0,0,0.002434,0,0.000318,0.000162,0,0,0,0.000881,0,0,0,0.958758,0,0,0,0,4.990055,2.917181,1.964188,0,0,0,0,0,0,9.916582,0,1.296491,0.658445,0,0,0,3.589540,0,0,0
valse wingerd,Parthenocissus inserta (A.Kern.) Fritsch,Pi,0.091467,0,0.005104,0, 0.010087,0.012704,0.008186,0.014537,0,0.011678,0,0,0,0.011042,0,0,0.004099,0,0,0,0.004099, 0.009931,0,0,0,0.000713,0,0.000951,0, 0.013662,0.003796,0.000478,0.001725,0,0.002135,0,0,0,0.001563,0,0,0.000318,0,0,0,0.002515, 0.006818,0,0,0,1.268854,0,1.692401,0,24.305796,6.753991,0.850063,3.068223,0,3.798136,0,0,0,2.780446,0,0,0.566224,0,0,0,4.473647,12.129358,0,0,0
Afghaanse duizendknoop,Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal,Kp,0.101850,0,0,0,0,0,0,0,0,0,0,0,0, 0.045103, 0.015248,0,0.032391,0,0,0,0, 0.009108,0,0,0,0.000133,0,0,0,0,0,0,0,0,0,0,0,0, 0.001073, 0.002502,0,0.000423,0,0,0,0, 0.001051,0,0,0,1.412900,0,0,0,0,0,0,0,0,0,0,0,0,11.357313,26.490170,0,4.474279,0,0,0,0,11.123822,0,0,0
grote waterteunisbloem,Ludwigia grandiflora (Michx.) Greuter & Burdet,Lgr,0.340481,0.000482,0.006551,0.001572,0.001503,0.002089,0.006107, 0.195855,0.001308,0.015570,0.006637,0.001112,0.001112,0.007016,0.001080,0,0,0,0,0,0.004198,0, 0.088289,0,0,0.009786,0.015803,0.004501,0.000627,0.007502,0.002301,0.001314, 0.085653,0.004725,0.010492,0.002645,0.000322,0.001438,0.003661,0.003887,0,0,0,0,0,0.009494,0, 0.048541,0,0,4.723263,7.627050,2.172476,0.302679,3.620881,1.110665,0.634118,41.338574,2.280490,5.063956,1.276669,0.155188,0.694135,1.766683,1.876093,0,0,0,0,0,4.582078,0,23.427564,0,0
