taxonKey	year	classKey	obs	cobs	ncells	c_ncells	canonicalName	fit	ucl	lcl	em1	em2	em	em_status	growth	method
1651430	2010	216	1	0	1	0	Aedes albopictus									correct_baseline
1651430	2011	216	0	0	0	0	Aedes albopictus									correct_baseline
1651430	2012	216	0	0	0	0	Aedes albopictus									correct_baseline
1651430	2013	216	8	360	2	2	Aedes albopictus									correct_baseline
1651430	2014	216	7	135	2	2	Aedes albopictus									correct_baseline
1651430	2015	216	8	58	1	1	Aedes albopictus									correct_baseline
1651430	2016	216	13	248	2	2	Aedes albopictus									correct_baseline
1651430	2017	216	0	0	0	0	Aedes albopictus									correct_baseline
1651430	2018	216	59	189	2	2	Aedes albopictus									correct_baseline
1651430	2019	216	13	13	2	2	Aedes albopictus									correct_baseline
1651430	2020	216	0	0	0	0	Aedes albopictus									correct_baseline
2225776	2000	229	7	13	3	2	Eriocheir sinensis	3.660354886125689	8.184348718793009	1.6370512001302058	1	0	3	3	1.2705552567343958	correct_baseline
2225776	2001	229	11	35	4	3	Eriocheir sinensis	5.434601670068426	10.236310474653287	2.885306711382345	1	0	3	3	1.2766274553862629	correct_baseline
2225776	2002	229	72	7	8	3	Eriocheir sinensis	7.862069352849961	13.17015423167181	4.693349327707623	1	0	3	3	1.2799894589454817	correct_baseline
2225776	2003	229	3	11	3	3	Eriocheir sinensis	11.077489223904333	17.198093612912857	7.1351377814097745	1	0	3	3	1.2775161087973606	correct_baseline
2225776	2004	229	24	27	14	10	Eriocheir sinensis	15.1859299409331	22.35829469501461	10.314403281496675	1	-1	2	2	1.265123295364863	correct_baseline
2225776	2005	229	19	36	13	9	Eriocheir sinensis	20.223011585886773	28.451853332751092	14.374114502134828	1	-1	2	2	1.240158264283895	correct_baseline
2225776	2006	229	32	2	5	1	Eriocheir sinensis	26.110753744056137	35.11876564858153	19.413309337376408	1	-1	2	2	1.2048700509687953	correct_baseline
2225776	2007	229	676	7	34	5	Eriocheir sinensis	32.62629577694548	41.99563296113653	25.34728258792561	1	-1	2	2	1.1653703892975524	correct_baseline
2225776	2008	229	597	81	44	8	Eriocheir sinensis	39.4051493630227	48.86850564588207	31.77436624671933	1	-1	2	2	1.1266847608421882	correct_baseline
2225776	2009	229	386	112	48	26	Eriocheir sinensis	45.993109521371366	55.72861889465674	37.95834466028159	1	-1	2	2	1.0911534385502955	correct_baseline
2225776	2010	229	519	226	57	31	Eriocheir sinensis	51.94038302962983	62.6239856922333	43.07939457132387	1	-1	2	2	1.0595331438297453	correct_baseline
2225776	2011	229	988	233	63	40	Eriocheir sinensis	56.90786277596	69.40701624171408	46.659617731573526	1	-1	2	2	1.032309286006071	correct_baseline
2225776	2012	229	3408	136	98	36	Eriocheir sinensis	60.745084458327284	75.75641412530162	48.70828864399637	1	-1	2	2	1.010494838931609	correct_baseline
2225776	2013	229	267	120	78	36	Eriocheir sinensis	63.511384990247805	81.40360111033608	49.551813044635715	0	-1	-1	0	0.9954756570444874	correct_baseline
2225776	2014	229	380	206	73	39	Eriocheir sinensis	65.43880830851433	86.21110793094378	49.67152998739572	0	0	0	1	0.9879386893824224	correct_baseline
2225776	2015	229	178	126	56	28	Eriocheir sinensis	66.85941936042872	90.1386772116443	49.59227376631841	0	0	0	1	0.9863055153869713	correct_baseline
2225776	2016	229	390	194	123	56	Eriocheir sinensis	68.12763323599475	93.27578774797166	49.75969136684292	0	0	0	1	0.9853683391936503	correct_baseline
2225776	2017	229	349	312	92	41	Eriocheir sinensis	69.56041478028266	96.02323332434504	50.390422576805776	0	0	0	1	0.9797190338566039	correct_baseline
2225776	2018	229	262	211	84	40	Eriocheir sinensis	71.40479237162481	99.43577196621098	51.27575592581921	0	0	0	1	0.9694819430235058	correct_baseline
2225776	2019	229	191	60	89	29	Eriocheir sinensis	73.83251555719319	105.6066371920941	51.61834992991579	0	0	0	1	0.9568255912234352	correct_baseline
2225776	2020	229	260	81	133	53	Eriocheir sinensis	76.9582382742713	117.64939132256245	50.34085065549935	0	0	0	1	0.9430668482883366	correct_baseline
2226990	2009	229	1	1	1	1	Pacifastacus leniusculus									correct_baseline
2226990	2010	229	0	0	0	0	Pacifastacus leniusculus									correct_baseline
2226990	2011	229	0	0	0	0	Pacifastacus leniusculus									correct_baseline
2226990	2012	229	0	0	0	0	Pacifastacus leniusculus									correct_baseline
2226990	2013	229	0	0	0	0	Pacifastacus leniusculus									correct_baseline
2226990	2014	229	0	0	0	0	Pacifastacus leniusculus									correct_baseline
2226990	2015	229	1	0	1	0	Pacifastacus leniusculus									correct_baseline
2226990	2016	229	0	0	0	0	Pacifastacus leniusculus									correct_baseline
2226990	2017	229	0	0	0	0	Pacifastacus leniusculus									correct_baseline
2226990	2018	229	0	0	0	0	Pacifastacus leniusculus									correct_baseline
2226990	2019	229	0	0	0	0	Pacifastacus leniusculus									correct_baseline
2226990	2020	229	0	0	0	0	Pacifastacus leniusculus									correct_baseline
2227300	2003	229	1	0	1	0	Procambarus clarkii									correct_baseline
2227300	2004	229	0	0	0	0	Procambarus clarkii									correct_baseline
2227300	2005	229	0	0	0	0	Procambarus clarkii									correct_baseline
2227300	2006	229	0	0	0	0	Procambarus clarkii									correct_baseline
2227300	2007	229	0	0	0	0	Procambarus clarkii									correct_baseline
2227300	2008	229	2	0	2	0	Procambarus clarkii									correct_baseline
2227300	2009	229	3	0	3	0	Procambarus clarkii									correct_baseline
2227300	2010	229	2	0	2	0	Procambarus clarkii									correct_baseline
2227300	2011	229	3	0	2	0	Procambarus clarkii									correct_baseline
2227300	2012	229	8	8	8	3	Procambarus clarkii									correct_baseline
2227300	2013	229	7	0	7	0	Procambarus clarkii									correct_baseline
2227300	2014	229	6	0	4	0	Procambarus clarkii									correct_baseline
